Exch,ExchType,Scripcode,Name,Series,Expiry,CpType,Strikerate,WireCat,ISIN,Fullname,LotSize,AllowedToTrade,QtyLimit,Multiplier,Underlyer,Root,TickSize
N,D,57630,NIFTY 27 Oct 2022 PE 18750.00,XX,27-10-2022 14:30,PE,18750, ,NIFTY,NIFTY 27 Oct 2022 PE 18750.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57631,NIFTY 27 Oct 2022 CE 18800.00,XX,27-10-2022 14:30,CE,18800, ,NIFTY,NIFTY 27 Oct 2022 CE 18800.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57632,NIFTY 27 Oct 2022 PE 18800.00,XX,27-10-2022 14:30,PE,18800, ,NIFTY,NIFTY 27 Oct 2022 PE 18800.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57633,NIFTY 27 Oct 2022 CE 18850.00,XX,27-10-2022 14:30,CE,18850, ,NIFTY,NIFTY 27 Oct 2022 CE 18850.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57634,NIFTY 27 Oct 2022 PE 18850.00,XX,27-10-2022 14:30,PE,18850, ,NIFTY,NIFTY 27 Oct 2022 PE 18850.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57635,NIFTY 27 Oct 2022 CE 18900.00,XX,27-10-2022 14:30,CE,18900, ,NIFTY,NIFTY 27 Oct 2022 CE 18900.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57636,NIFTY 27 Oct 2022 PE 18900.00,XX,27-10-2022 14:30,PE,18900, ,NIFTY,NIFTY 27 Oct 2022 PE 18900.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57637,NIFTY 27 Oct 2022 CE 18950.00,XX,27-10-2022 14:30,CE,18950, ,NIFTY,NIFTY 27 Oct 2022 CE 18950.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57638,NIFTY 27 Oct 2022 PE 18950.00,XX,27-10-2022 14:30,PE,18950, ,NIFTY,NIFTY 27 Oct 2022 PE 18950.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57639,NIFTY 27 Oct 2022 CE 19000.00,XX,27-10-2022 14:30,CE,19000, ,NIFTY,NIFTY 27 Oct 2022 CE 19000.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57640,NIFTY 27 Oct 2022 PE 19000.00,XX,27-10-2022 14:30,PE,19000, ,NIFTY,NIFTY 27 Oct 2022 PE 19000.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57641,NIFTY 27 Oct 2022 CE 19050.00,XX,27-10-2022 14:30,CE,19050, ,NIFTY,NIFTY 27 Oct 2022 CE 19050.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57642,NIFTY 27 Oct 2022 PE 19050.00,XX,27-10-2022 14:30,PE,19050, ,NIFTY,NIFTY 27 Oct 2022 PE 19050.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57643,NIFTY 27 Oct 2022 CE 19100.00,XX,27-10-2022 14:30,CE,19100, ,NIFTY,NIFTY 27 Oct 2022 CE 19100.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57644,NIFTY 27 Oct 2022 PE 19100.00,XX,27-10-2022 14:30,PE,19100, ,NIFTY,NIFTY 27 Oct 2022 PE 19100.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57645,NIFTY 27 Oct 2022 CE 19150.00,XX,27-10-2022 14:30,CE,19150, ,NIFTY,NIFTY 27 Oct 2022 CE 19150.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57646,NIFTY 27 Oct 2022 PE 19150.00,XX,27-10-2022 14:30,PE,19150, ,NIFTY,NIFTY 27 Oct 2022 PE 19150.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57647,NIFTY 27 Oct 2022 CE 19200.00,XX,27-10-2022 14:30,CE,19200, ,NIFTY,NIFTY 27 Oct 2022 CE 19200.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57648,NIFTY 27 Oct 2022 PE 19200.00,XX,27-10-2022 14:30,PE,19200, ,NIFTY,NIFTY 27 Oct 2022 PE 19200.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57649,NIFTY 27 Oct 2022 CE 19250.00,XX,27-10-2022 14:30,CE,19250, ,NIFTY,NIFTY 27 Oct 2022 CE 19250.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57650,NIFTY 27 Oct 2022 PE 19250.00,XX,27-10-2022 14:30,PE,19250, ,NIFTY,NIFTY 27 Oct 2022 PE 19250.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57651,NIFTY 27 Oct 2022 CE 19300.00,XX,27-10-2022 14:30,CE,19300, ,NIFTY,NIFTY 27 Oct 2022 CE 19300.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57652,NIFTY 27 Oct 2022 PE 19300.00,XX,27-10-2022 14:30,PE,19300, ,NIFTY,NIFTY 27 Oct 2022 PE 19300.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57653,NIFTY 27 Oct 2022 CE 19350.00,XX,27-10-2022 14:30,CE,19350, ,NIFTY,NIFTY 27 Oct 2022 CE 19350.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57654,NIFTY 27 Oct 2022 PE 19350.00,XX,27-10-2022 14:30,PE,19350, ,NIFTY,NIFTY 27 Oct 2022 PE 19350.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
N,D,57655,NIFTY 27 Oct 2022 CE 19400.00,XX,27-10-2022 14:30,CE,19400, ,NIFTY,NIFTY 27 Oct 2022 CE 19400.00,50,Y,2800,1,27-Oct-22,NIFTY,0.05
